Unnamed: 0	objectId	mjd	psMag	psMagErr	flags	psFlux	psFluxErr	psDiffFlux	psDiffFluxErr	filter	id	class	z
2192600	1415792	54062.3	20.410145	0.032492206	4503874773745664	24879.088	744.9989	1990.85742	1384.38931	2	1415792	Qso	0.948
2192601	1415792	54424.23	20.702734	0.054576878	4503874907963392	18997.836	955.97144	-3890.39453	1508.44017	2	1415792	Qso	0.948
2192602	1415792	53685.29	20.399399	0.052748874	4503874916352000	25126.746	1221.4796	2238.51562	1689.23737	2	1415792	Qso	0.948
2192603	1415792	54030.31	20.575422	0.032254957	4503874773712896	21363.695	635.1986	-1524.53516	1328.52838	2	1415792	Qso	0.948
2192604	1415792	54417.29	20.629025	0.033803448	4503874782134784	20333.71	633.6535	-2554.51953	1327.79032	2	1415792	Qso	0.948
2192605	1415792	54422.3	20.595324	0.04520558	4503874773745680	20975.35	874.0805	-1912.88086	1457.91877	2	1415792	Qso	0.948
2192606	1415792	53352.17	20.002562	0.02608184	4503599904227344	36219.156	870.31793	13330.92578	1455.66606	2	1415792	Qso	0.948
2192607	1415792	52963.2	20.187017	0.028287034	4503874773745664	30558.418	796.472	7670.1875	1412.75546	2	1415792	Qso	0.948
2192608	1415792	52935.28	20.152893	0.027082372	4503599895838736	31534.486	786.8899	8646.25781	1407.3756	2	1415792	Qso	0.948
2192609	1415792	52910.35	20.094093	0.026466865	4503599929393168	33290.055	811.78577	10401.82422	1421.44522	2	1415792	Qso	0.948
2192610	1415792	52288.08	20.07664	0.02918283	4503599904227344	33829.707	909.5894	10941.47656	1479.48076	2	1415792	Qso	0.948
2192611	1415792	54059.29	20.415642	0.040733576	6755674587430928	24753.387	929.2485	1865.1582	1491.64779	2	1415792	Qso	0.948
2192612	1415792	54402.38	20.445904	0.06493208	4503874782101504	24072.559	1440.5941	1184.32812	1853.8667	2	1415792	Qso	0.948
2192613	1415792	52576.22	20.07796	0.030389998	4503599895838736	33788.613	946.0654	10900.38281	1502.18181	2	1415792	Qso	0.948
2192614	1415792	53674.28	20.203854	0.0333904	4503874782134288	30088.018	925.70575	7199.78711	1489.44335	2	1415792	Qso	0.948
2192615	1415792	53640.34	20.300962	0.035233933	4503599895805968	27512.617	893.2777	4624.38672	1469.50857	2	1415792	Qso	0.948
2192616	1415792	52558.38	20.120068	0.029560464	4503874782134272	32502.807	885.2458	9614.57617	1464.64002	2	1415792	Qso	0.948
2192617	1415792	53697.29	20.68649	0.05070339	4503874773712896	19284.541	901.4984	-3603.68945	1474.52018	2	1415792	Qso	0.948
2192618	1415792	52552.37	20.1185	0.02598361	4503874773745664	32549.785	779.2538	9661.55469	1403.12036	2	1415792	Qso	0.948
2192619	1415792	52971.19	20.157156	0.026933022	4503599904227344	31410.902	779.486	8522.67383	1403.24936	2	1415792	Qso	0.948
2192620	1415792	53676.37	20.287159	0.040000513	4503874773712912	27864.83	1027.0935	4976.59961	1554.48754	2	1415792	Qso	0.948
2192621	1415792	54012.31	20.763529	0.06302393	4503874916352256	17962.186	1043.8807	-4926.04492	1565.63003	2	1415792	Qso	0.948
2192622	1415792	54008.33	20.626896	0.03615422	4503874773745680	20373.654	679.04816	-2514.57617	1350.04325	2	1415792	Qso	0.948
2192623	1415792	54382.37	20.51016	0.054507736	4503599904227344	22688.277	1139.8704	-199.95312	1631.20044	2	1415792	Qso	0.948
2192624	1415792	52585.22	19.982779	0.026543127	4503599895838736	36885.344	901.9922	13997.11328	1474.82213	2	1415792	Qso	0.948
2192625	1415792	54020.32	20.67708	0.051746625	4503874782134272	19452.54	928.0458	-3435.69141	1490.89883	2	1415792	Qso	0.948
2192626	1415792	54413.29	20.5456	0.05762914	4503874773745680	21959.088	1166.4706	-929.14258	1649.89818	2	1415792	Qso	0.948
2192627	1415792	54385.39	20.563614	0.030526944	4503874773712896	21597.502	607.7371	-1290.72852	1315.61954	2	1415792	Qso	0.948
2192628	1415792	54035.39	20.55339	0.06438957	4503874782134288	21802.004	1294.0	-1086.22656	1742.39673	2	1415792	Qso	0.948
2192629	1415792	52577.27	20.088179	0.023610009	4503599904227344	33471.953	728.1151	10583.72266	1375.37704	2	1415792	Qso	0.948
2192630	1415792	52522.38	20.075432	0.02472178	4503599895805968	33867.355	771.40155	10979.125	1398.77469	2	1415792	Qso	0.948
2192631	1415792	53994.38	20.650616	0.038228992	4503874773745680	19932.975	702.5146	-2955.25586	1361.99744	2	1415792	Qso	0.948
2192632	1415792	54056.3	20.512297	0.04879012	6755674587430928	22643.672	1018.30023	-244.55859	1548.69163	2	1415792	Qso	0.948
2192633	1415792	53705.27	20.330414	0.031469043	4503599904227344	26776.01	776.4884	3887.7793	1401.58647	2	1415792	Qso	0.948
2192634	1415792	53638.37	20.267075	0.028031418	4503874782134272	28385.309	733.1941	5497.07812	1378.07255	2	1415792	Qso	0.948
2192635	1415792	54068.28	20.38228	0.054132394	4503874773745664	25526.275	1273.4248	2638.04297	1727.17142	2	1415792	Qso	0.948
2192636	1415792	54387.39	20.564459	0.05081908	6755674587430928	21580.69	1010.9313	-1307.54102	1543.85635	2	1415792	Qso	0.948
2192637	1415792	53664.34	20.639812	0.07956786	4503874916352000	20132.5	1476.7859	-2755.73047	1882.12828	2	1415792	Qso	0.948
2192638	1415792	53669.29	20.302694	0.025489988	4503874773745664	27468.76	645.21246	4580.52734	1333.34523	2	1415792	Qso	0.948
2192639	1415792	54376.38	20.500078	0.034412026	4503874782134272	22900.117	726.3365	11.88672	1374.43627	2	1415792	Qso	0.948
2192640	1415792	54357.34	20.537603	0.03161365	4503599895805968	22121.566	644.61884	-766.66406	1333.05807	2	1415792	Qso	0.948
2192641	1415792	53996.37	20.559607	0.037992578	4503874782134288	21677.424	759.15906	-1210.80664	1392.06066	2	1415792	Qso	0.948
2192642	1415792	53671.38	20.230518	0.051671006	4503599895805968	29357.777	1397.7743	6469.54688	1820.79196	2	1415792	Qso	0.948
2192643	1415792	54037.29	20.546228	0.03240644	4503874773745664	21946.39	655.5597	-941.83984	1338.38293	2	1415792	Qso	0.948
2192644	1415792	54411.25	20.621555	0.03584237	4503874773745688	20474.21	676.5075	-2414.01953	1348.76713	2	1415792	Qso	0.948
2192645	1415792	54391.39	20.50519	0.07316394	15762873850560528	22792.447	1537.0253	-95.78125	1929.75572	2	1415792	Qso	0.948
2192646	1415792	53681.33	20.413277	0.028028391	4503874773745664	24807.4	640.8006	1919.16992	1331.2159	2	1415792	Qso	0.948
2192647	1415792	54394.37	20.50064	0.055310555	6755674587430928	22888.23	1166.8378	0.0	1650.1578	2	1415792	Qso	0.948
2192648	1415792	54028.39	20.666134	0.048356265	6755674587430928	19649.814	876.01904	-3238.41602	1459.08182	2	1415792	Qso	0.948
2192649	1415792	53975.36	20.628323	0.038252313	4503874773712912	20346.875	717.5118	-2541.35547	1369.79325	2	1415792	Qso	0.948
2192650	1415792	54049.33	20.532894	0.069023155	6755674595819544	22217.799	1413.531	-670.43164	1832.91578	2	1415792	Qso	0.948
2192651	1415792	54359.37	20.501408	0.039044365	4503874782134288	22872.027	823.10223	-16.20117	1427.93827	2	1415792	Qso	0.948
2192652	1415792	54024.4	20.550184	0.06623901	4503874773745688	21866.521	1335.1	-1021.70898	1773.13349	2	1415792	Qso	0.948
